app_name,shortcut_name,key_combination,description,tags
VLC Media Player,Zoom Half,Command+0,Set zoom to 50%,"video,control"
VLC Media Player,Zoom Original,Command+1,Set zoom to 100%,"video,control"
VLC Media Player,Zoom Double,Command+2,Set zoom to 200%,"video,control"
VLC Media Player,Set Bookmark 1,Command+F1,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 2,Command+F2,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 3,Command+F3,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 4,Command+F4,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 5,Command+F5,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 6,Command+F6,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 7,Command+F7,Set bookmark at current position,"bookmark,control"
VLC Media Player,Set Bookmark 8,Command+F8,Set bookmark at current position,"bookmark,control"
VLC Media Player,Subtitle Text Normal,Command+0,Reset subtitle text scale,"subtitle,control"
VLC Media Player,Subtitle Text Scale Up,Command+Mouse Wheel Up,Increase subtitle text size,"subtitle,control"
VLC Media Player,Subtitle Text Scale Down,Command+Mouse Wheel Down,Decrease subtitle text size,"subtitle,control"
Chrome,Reopen Closed Tab,Cmd + Shift + T,Reopen recently closed tab,"browser,tab-management"
Chrome,Next Tab,Cmd + Option + Right Arrow,Switch to next tab,"browser,tab-navigation"
Chrome,Previous Tab,Cmd + Option + Left Arrow,Switch to previous tab,"browser,tab-navigation"
Chrome,New Incognito Window,Cmd + Shift + N,Open a new incognito window,"browser,window-management,privacy"
Chrome,Close Window,Cmd + Shift + W,Close current window,"browser,window-management"
Chrome,Hard Refresh,Cmd + Shift + R,Hard refresh (bypass cache),"browser,navigation,cache"
Chrome,Home,Cmd + Shift + H,Go to home page,"browser,navigation"
Chrome,Bookmarks Manager,Cmd + Shift + O,Open bookmarks manager,"browser,bookmarks"
Chrome,Bookmark All Tabs,Cmd + Shift + D,Bookmark all open tabs,"browser,bookmarks"
Chrome,Downloads,Cmd + Shift + J,Open downloads page,"browser,downloads"
Chrome,Developer Tools,Cmd + Option + I,Open developer tools,"browser,developer-tools"
Chrome,Developer Console,Cmd + Option + J,Open JavaScript console,"browser,developer-tools"
Chrome,View Source,Cmd + Option + U,View page source code,"browser,developer-tools"
Chrome,Find Previous,Cmd + Shift + G,Find previous occurrence,"browser,search"
Chrome,Task Manager,Shift + Escape,Open Chrome task manager,"browser,system-tools"
Chrome,Guest Mode,Cmd + Shift + M,Browse as guest,"browser,privacy"
Chrome,Full Screen,Cmd + Control + F,Toggle full screen mode,"browser,view"
Safari,Next Tab,Cmd + Shift + Right Arrow,Switch to next tab,"browser,tab-navigation"
Safari,Previous Tab,Cmd + Shift + Left Arrow,Switch to previous tab,"browser,tab-navigation"
Safari,New Private Window,Cmd + Shift + N,Open a new private window,"browser,window-management,privacy"
Safari,Close Window,Cmd + Shift + W,Close current window,"browser,window-management"
Safari,Home,Cmd + Shift + H,Go to home page,"browser,navigation"
Safari,Show All History,Cmd + Option + 2,Show all browsing history,"browser,history"
Safari,Bookmarks,Cmd + Option + B,Show bookmarks,"browser,bookmarks"
Safari,Add to Reading List,Cmd + Shift + D,Add page to reading list,"browser,reading-list"
Safari,Show Reading List,Cmd + Shift + L,Show reading list sidebar,"browser,reading-list"
Safari,Downloads,Cmd + Option + L,Show downloads,"browser,downloads"
Safari,Web Inspector,Cmd + Option + I,Open web inspector,"browser,developer-tools"
Safari,JavaScript Console,Cmd + Option + C,Open JavaScript console,"browser,developer-tools"
Safari,View Source,Cmd + Option + U,View page source code,"browser,developer-tools"
Safari,Find Previous,Cmd + Shift + G,Find previous occurrence,"browser,search"
Safari,Full Screen,Cmd + Control + F,Toggle full screen mode,"browser,view"
Safari,Hide Toolbar,Cmd + Shift + Backslash,Hide/show toolbar,"browser,view"
Safari,Show Top Sites,Cmd + Option + 1,Show top sites page,"browser,navigation"
Safari,Show Tab Overview,Shift + Cmd + Backslash,Show tab overview,"browser,tab-management"
Firefox,Undo Close Tab,Cmd + Shift + T,Reopen recently closed tab,"browser,tab-management"
Firefox,Next Tab,Cmd + Option + Right Arrow,Switch to next tab,"browser,tab-navigation"
Firefox,Previous Tab,Cmd + Option + Left Arrow,Switch to previous tab,"browser,tab-navigation"
Firefox,New Private Window,Cmd + Shift + P,Open a new private window,"browser,window-management,privacy"
Firefox,Close Window,Cmd + Shift + W,Close current window,"browser,window-management"
Firefox,Force Reload,Cmd + Shift + R,Force reload (bypass cache),"browser,navigation,cache"
Firefox,Home,Cmd + Shift + H,Go to home page,"browser,navigation"
Firefox,History,Cmd + Shift + H,Show browsing history,"browser,history"
Firefox,Bookmarks,Cmd + Shift + B,Show bookmarks toolbar,"browser,bookmarks"
Firefox,Bookmark All Tabs,Cmd + Shift + D,Bookmark all open tabs,"browser,bookmarks"
Firefox,Downloads,Cmd + Shift + Y,Show downloads,"browser,downloads"
Firefox,Developer Tools,Cmd + Option + I,Open developer tools,"browser,developer-tools"
Firefox,Web Console,Cmd + Option + K,Open web console,"browser,developer-tools"
Firefox,Inspector,Cmd + Option + C,Open page inspector,"browser,developer-tools"
Firefox,Find Previous,Cmd + Shift + G,Find previous occurrence,"browser,search"
Firefox,Full Screen,Cmd + Shift + F,Toggle full screen mode,"browser,view"
Firefox,Library,Cmd + Shift + O,Open library window,"browser,bookmarks,history"
Arc Browser,Restore Tab,Cmd + Shift + T,Restore recently closed tab,"browser,tab-management"
Arc Browser,Next Tab,Control + Tab,Switch to next tab,"browser,tab-navigation"
Arc Browser,Previous Tab,Control + Shift + Tab,Switch to previous tab,"browser,tab-navigation"
Arc Browser,New Little Arc,Cmd + Shift + N,Open new Little Arc window,"browser,window-management"
Arc Browser,Close Window,Cmd + Shift + W,Close current window,"browser,window-management"
Arc Browser,Hard Refresh,Cmd + Shift + R,Hard refresh (bypass cache),"browser,navigation,cache"
Arc Browser,Developer Tools,Cmd + Option + I,Open developer tools,"browser,developer-tools"
Arc Browser,Find Previous,Cmd + Shift + G,Find previous occurrence,"browser,search"
Arc Browser,Split View,Cmd + Shift + D,Open split view mode,"browser,view"
Arc Browser,Picture in Picture,Cmd + Shift + P,Toggle picture-in-picture,"browser,media"
Arc Browser,Full Screen,Cmd + Control + F,Toggle full screen mode,"browser,view"
BZG YouTube,Full Screen,Cmd + Control + F,Toggle full screen mode,"web-app,media,view"
BZG GitHub,Developer Tools,Cmd + Option + I,Open developer tools,"web-app,developer-tools"
Surf Browser,Developer Tools,Cmd + Option + I,Open developer tools,"browser,developer-tools"
Safari Web Apps,Full Screen,Cmd + Control + F,Toggle full screen mode,"web-app,view"
KeyClu,Activation Key,Double Tap Control,Activation key for keyboard shortcut display,"productivity,shortcuts,utility"
Raycast,Global Launcher,Shift-Option-Command-15,Main application launcher shortcut,"productivity,launcher,hotkeys"
Raycast,Quick Close,⌘W,Close Raycast window quickly,"productivity,launcher,window-management"
Raycast,File Search,Spotlight Alternative,Enhanced file and application search,"productivity,search,launcher"
ChatGPT,Toggle Attached Launcher,Shift+Alt+1,Open ChatGPT launcher with attachment options,"ai,chatbot,launcher,attachments"
Ice,Toggle Always Hidden Section,⌃F5,Toggle visibility of always hidden menu bar items,menu-bar-management
Ice,Toggle Hidden Section,⌃B,Toggle visibility of hidden menu bar items,menu-bar-management
Sidekick AI,Toggle inline assistant,Cmd+Shift+I,Toggle the inline AI assistant interface,"ai,productivity,entertainment"
Finder,Show All Files,Cmd+Shift+.,Toggle hidden files visibility,"file_visibility,navigation,finder"
Finder,New Folder,Cmd+Shift+N,Create new folder,"file_operations,finder,folder_creation"
Finder,Empty Trash,Cmd+Shift+Delete,Empty trash completely,"trash_management,finder,cleanup"
Finder,Go to Folder,Cmd+Shift+G,Navigate to specific folder path,"navigation,finder,path_navigation"
Finder,Go to Computer,Cmd+Shift+C,Navigate to computer view,"navigation,finder,computer_view"
Finder,Go to Desktop,Cmd+Shift+D,Navigate to desktop folder,"navigation,finder,desktop"
Finder,Go to Documents,Cmd+Shift+O,Navigate to documents folder,"navigation,finder,documents"
Finder,Go to Downloads,Cmd+Alt+L,Navigate to downloads folder,"navigation,finder,downloads"
Finder,Go to Home,Cmd+Shift+H,Navigate to home folder,"navigation,finder,home"
Finder,Go to Applications,Cmd+Shift+A,Navigate to applications folder,"navigation,finder,applications"
Finder,Go to Utilities,Cmd+Shift+U,Navigate to utilities folder,"navigation,finder,utilities"
Finder,Hide Toolbar,Cmd+Alt+T,Toggle toolbar visibility,"interface,finder,toolbar"
Finder,Hide Path Bar,Cmd+Alt+P,Toggle path bar visibility,"interface,finder,path_bar"
Finder,Hide Sidebar,Cmd+Alt+S,Toggle sidebar visibility,"interface,finder,sidebar"
